                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0323,                0.65233,                 1.1106,                0.96864,                0.94114,                0.98392,                0.69655,                 1.0177,                0.64423,                 1.0659,              0.0009041,              0.0009041,              0.0009041
                     50,                  1.027,                0.64269,                 1.1052,                0.96983,                0.93241,                0.98211,                0.70997,                0.95082,                0.63602,                 1.0506,              0.0009021,              0.0009021,              0.0009021
                     51,                  1.049,                0.64241,                 1.1093,                0.96268,                0.94323,                0.98448,                 0.7066,                0.97505,                0.63501,                 1.0513,              0.0009001,              0.0009001,              0.0009001
                     52,                 1.0277,                0.63825,                 1.1007,                 0.9652,                0.94238,                0.98486,                0.69185,                 1.0201,                 0.6365,                 1.0613,              0.0008981,              0.0008981,              0.0008981
                     53,                 1.0381,                0.63911,                 1.1047,                0.96009,                0.94628,                0.98429,                0.68584,                 1.0435,                0.63696,                 1.0661,              0.0008961,              0.0008961,              0.0008961
                     54,                 1.0287,                0.63899,                 1.1031,                0.96334,                0.94624,                0.98473,                0.69884,                0.99315,                0.62743,                 1.0538,             0.00089411,             0.00089411,             0.00089411
                     55,                 1.0164,                0.62547,                 1.1001,                0.96009,                0.94737,                0.98411,                 0.7057,                0.97242,                0.62097,                 1.0512,             0.00089211,             0.00089211,             0.00089211
                     56,                 1.0301,                0.62658,                 1.0997,                0.95801,                 0.9481,                0.98376,                0.70955,                0.96182,                0.61488,                  1.049,             0.00089011,             0.00089011,             0.00089011
                     57,                 1.0108,                0.62038,                 1.0921,                0.96183,                0.94515,                0.98371,                0.71213,                0.95981,                0.61188,                 1.0473,             0.00088811,             0.00088811,             0.00088811
                     58,                 1.0096,                0.62041,                 1.0922,                0.96709,                0.94436,                0.98441,                0.70813,                0.97771,                0.61304,                 1.0513,             0.00088611,             0.00088611,             0.00088611
                     59,                 1.0087,                0.61639,                 1.0895,                0.96645,                0.94166,                0.98397,                0.70582,                0.97216,                0.61202,                 1.0495,             0.00088412,             0.00088412,             0.00088412
                     60,                 1.0146,                0.61394,                 1.0919,                 0.9735,                0.93573,                0.98371,                0.70918,                0.96655,                0.60904,                 1.0483,             0.00088212,             0.00088212,             0.00088212
                     61,                  1.008,                0.61133,                 1.0853,                0.97052,                 0.9385,                0.98415,                0.71177,                0.95189,                0.60409,                 1.0495,             0.00088012,             0.00088012,             0.00088012
                     62,                0.99741,                0.61246,                 1.0848,                 0.9686,                0.93981,                0.98405,                0.71345,                0.94486,                0.60658,                 1.0487,             0.00087812,             0.00087812,             0.00087812
                     63,                 1.0042,                0.60928,                 1.0902,                0.97158,                0.93684,                0.98431,                0.71213,                0.95534,                0.60425,                 1.0476,             0.00087612,             0.00087612,             0.00087612
                     64,                 1.0038,                0.59908,                 1.0823,                0.97027,                0.94015,                0.98441,                0.70251,                0.99092,                0.60283,                 1.0521,             0.00087413,             0.00087413,             0.00087413
                     65,                 1.0123,                 0.6146,                 1.1005,                0.96855,                0.93407,                0.98395,                0.70776,                0.97181,                 0.6056,                 1.0498,             0.00087213,             0.00087213,             0.00087213
                     66,                 1.0035,                0.61011,                 1.0892,                0.97198,                0.93518,                0.98442,                0.71249,                0.95113,                0.60146,                 1.0475,             0.00087013,             0.00087013,             0.00087013
                     67,                 1.0113,                0.60558,                 1.0915,                0.96646,                 0.9419,                0.98428,                0.70441,                0.99086,                0.59604,                 1.0508,             0.00086813,             0.00086813,             0.00086813
                     68,                0.99938,                0.59826,                 1.0851,                0.96923,                0.94236,                0.98437,                0.70989,                0.96768,                0.59257,                  1.047,             0.00086613,             0.00086613,             0.00086613
                     69,                 1.0216,                0.60735,                 1.0961,                0.96421,                0.94681,                0.98447,                0.71121,                0.95267,                0.59266,                 1.0465,             0.00086414,             0.00086414,             0.00086414
                     70,                0.99418,                0.59741,                 1.0837,                0.96807,                0.94294,                0.98451,                0.70725,                0.97243,                0.59095,                 1.0469,             0.00086214,             0.00086214,             0.00086214
                     71,                 1.0097,                0.60616,                  1.089,                0.96589,                0.94183,                0.98394,                0.70903,                0.96619,                0.58861,                 1.0483,             0.00086014,             0.00086014,             0.00086014
                     72,                 1.0032,                0.59086,                 1.0869,                0.96167,                0.94524,                0.98322,                0.71024,                0.96515,                0.59157,                 1.0472,             0.00085814,             0.00085814,             0.00085814
                     73,                0.99184,                0.58875,                 1.0779,                0.96272,                0.94426,                0.98436,                 0.7132,                0.93642,                 0.5882,                 1.0405,             0.00085614,             0.00085614,             0.00085614
